기술검토번호,요청일,영업담당자,제품그룹,Location,고객사,Enduser,담당자
ME25-408,2025-06-27 16:15,김원근,Ancilaries,수출,현대중공업(주)-선박,현대중공업(주)-선박,나호준
ME25-407,2025-06-27 15:23,MAP_김기흥,SI Humidifiers,국내,SK바이오텍 세종사업장,SK바이오텍 세종사업장,노예경
ME25-405,2025-06-27 14:34,조준만,Steam Traps,수출,삼성물산(주),SPE SPA (알제리),김영민
ME25-404,2025-06-26 16:01,박준혁,ABCO,국내,태아산업 김천공장,태아산업 김천공장,노예경
ME25-403,2025-06-26 15:55,남철규,ABCO,국내,(주)삼화에이스,앰코테크놀로지베트남,노예경
ME25-402,2025-06-25 15:25,하태욱,Heat Exchanger Packages,국내,(No_Tax)엘지전자(주)창원１공장,(No_Tax)엘지전자(주)창원１공장,김영민
ME25-401,2025-06-25 15:01,김형욱,PNEL Controls,국내,(주)노무라마이크로사이언스코리아,SK하이닉스(청주),노예경
ME25-400,2025-06-25 15:01,김형욱,PNEL Controls,국내,(주)노무라마이크로사이언스코리아,SK하이닉스(청주),노예경
ME25-399,2025-06-24 15:54,황수진,Steam Traps,수출,(주)에스피씨,Albayroni(Saudi Arabia),남준모
ME25-398,2025-06-24 8:59,오영근,Other STAP,국내,주식회사 범용텍,롯데케미칼(주)첨단소재여수공장,김영민
ME25-397,2025-06-23 16:47,이정화,Metering,국내,주식회사 성지엔지니어링,주식회사 성지엔지니어링,김영민
ME25-396,2025-06-23 11:20,박준혁,ABCO,국내,태아산업 김천공장,태아산업 김천공장,노예경
ME25-395,2025-06-23 11:10,남철규,ABCO,국내,주식회사 한신비텍,한국남부발전(주)신인천빛드림본부,남준모
ME25-394,2025-06-23 10:49,권혁미,PNEL Controls,수출,SPIRAX SARCO JAPAN,SPIRAX SARCO JAPAN,김영민
ME25-393,2025-06-22 16:15,엄주석,Steam Traps,국내,한성크린텍 주식회사,롯데바이오로직스송도,노예경
ME25-392,2025-06-20 12:58,방병석,Steam Traps,국내,오뚜기 포승공장,오뚜기 포승공장,박병호
ME25-391,2025-06-20 12:52,방병석,Steam Traps,국내,오뚜기 포승공장,오뚜기 포승공장,박병호
ME25-390,2025-06-19 17:11,오영근,PNEL Controls,국내,티케이지휴켐스(주)여수공장,티케이지휴켐스(주)여수공장,노예경
ME25-389,2025-06-19 11:40,권혁미,PNEL Controls,수출,SPIRAX SARCO JAPAN,SPIRAX SARCO JAPAN,김영민
ME25-388,2025-06-19 11:24,윤현석,Heat Exchanger Packages,국내,(주)삼양사 인천2공장,(주)삼양사 인천2공장,박병호
ME25-387,2025-06-19 11:02,조현지,Ancilaries,국내,한화오션 (주),한화오션 (주),김영민
ME25-386,2025-06-19 9:33,이현석,"기타(P&ID, etc.)",국내,도레이첨단소재 울산공장,도레이첨단소재 울산공장,김영민
ME25-385,2025-06-18 23:00,엄주석,"기타(P&ID, etc.)",국내,롯데건설(주),롯데바이오로직스송도,박병호
ME25-384,2025-06-18 16:21,백성윤,Ancilaries,국내,지에스건설(주),(No_Tax)(주)엘지화학 대산공장,남준모
ME25-383,2025-06-18 13:51,박남용,Steam Traps,국내,두산에너빌리티 주식회사,한국서부발전 공주화력발전소,노예경
ME25-382,2025-06-18 13:18,장우영,Metering,국내,에스티파트너 주식회사,에스케이바이오사이언스(주)송도,김영민
ME25-381,2025-06-18 10:41,박남용,Steam Traps,국내,두산에너빌리티 주식회사,한국서부발전 공주화력발전소,노예경
ME25-380,2025-06-18 10:26,김원근,Ancilaries,국내,현대중공업(주)-선박,현대중공업(주)-선박,박병호
ME25-379,2025-06-18 10:11,이현석,Steam Traps,국내,(No_Tax)에스케이케미칼(주),(No_Tax)에스케이케미칼(주),남준모
ME25-378,2025-06-17 18:49,EPE_정영호,HEAT Exchangers,국내,(No_Tax)(주)농심녹산공장,(No_Tax)(주)농심녹산공장,권일태
ME25-377,2025-06-17 17:45,EPE_정영호,Steam Traps,수출,그린하이시스,그린하이시스,노예경
ME25-376,2025-06-17 17:21,권혁미,Steam Traps,수출,SPIRAX UAE,SPIRAX UAE,박병호
ME25-375,2025-06-17 17:08,조현지,Other STAP,수출,지수이엔티(주),지수이엔티(주),김영민
ME25-374,2025-06-17 14:25,김금규,Clean & Pure Steam Generators,국내,(주)하림,(주)하림,김영민
ME25-373,2025-06-16 17:46,박준혁,Heat Exchanger Packages,국내,영남대학교 의료원,영남대학교 의료원,김영민
ME25-372,2025-06-16 17:16,신의철,SI Humidifiers,국내,(주)아론,현대자동차(주)남양연구소,노예경
ME25-371,2025-06-16 16:04,이정화,PNEL Controls,국내,삼성물산(주),삼성물산(주),김영민
ME25-370,2025-06-16 15:41,오영근,Heat Exchanger Packages,국내,지에스칼텍스(주)여수,지에스칼텍스(주)여수,권일태
ME25-369,2025-06-16 13:30,방병석,HEAT Exchangers,국내,주식회사 에이치원이엔지,듀폰코리아 주식회사,박병호
ME25-368,2025-06-13 15:43,권혁미,Other STAP,수출,SPIRAX SARCO MALAYSIA,SPIRAX SARCO MALAYSIA,김영민
ME25-367,2025-06-13 15:31,권혁미,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,김영민
ME25-366,2025-06-13 11:48,권혁미,PNEL Controls,수출,SPIRAX SARCO JAPAN,SPIRAX SARCO JAPAN,김영민
ME25-365,2025-06-13 10:51,조준만,Steam Traps,수출,삼성물산(주),삼성물산(주),남준모
ME25-364,2025-06-13 9:52,남철규,SI Humidifiers,국내,(주)삼화에이스,삼성바이오로직스 주식회사,노예경
ME25-363,2025-06-13 8:43,김태호,Sundry Products,국내,세일이엔에스(주),신영지웰푸르지오테크노폴리스센트럴,노예경
ME25-362,2025-06-12 17:18,박남용,Steam Traps,국내,두산에너빌리티 주식회사,한국남동발전(주)여수화력,남준모
ME25-361,2025-06-12 17:12,박남용,Steam Traps,수출,두산에너빌리티 주식회사,괌 UKUDU CCPP 발전소,박병호
ME25-360,2025-06-12 17:06,박남용,Steam Traps,수출,두산에너빌리티 주식회사,괌 UKUDU CCPP 발전소,노예경
ME25-359,2025-06-12 13:32,백성윤,Other STAP,국내,픽스(feex),(No_Tax)(주)엘지화학 대산공장,김영민
ME25-358,2025-06-12 8:45,방병석,Steam Traps,국내,서해그린에너지㈜,서해그린에너지㈜,노예경
ME25-357,2025-06-11 16:18,박근국,Other STAP,국내,주식회사 삼현씨엔에스,OCI SE 주식회사,김영민
ME25-356,2025-06-11 9:29,박남용,Steam Traps,수출,두산에너빌리티 주식회사,사우디 QASSIM 발전소,노예경
ME25-355,2025-06-11 8:48,박남용,Steam Traps,수출,두산에너빌리티 주식회사,사우디 TAIBA 발전소,노예경
ME25-354,2025-06-10 19:25,이후원,Condensate Pumps,국내,GS 칼텍스 윤활유공장,GS 칼텍스 윤활유공장,박병호
ME25-353,2025-06-10 17:39,박남용,Condensate Pumps,국내,엘지전자 (주),구미천연가스발전소,박병호
ME25-352,2025-06-10 16:49,전대수,Metering,국내,정엔지니어링(주),(주)엘엑스하우시스 울산공장,김영민
ME25-351,2025-06-10 15:49,이준재,Other STAP,국내,빙그레(주)김해공장,빙그레(주)김해공장,김영민
ME25-350,2025-06-10 15:10,김형욱,Pressure Controls,수출,케이엔솔 주식회사,케이티앤지(인도네시아),박병호
ME25-349,2025-06-10 12:49,백성윤,Ancilaries,국내,페트로켐코리아주식회사,주식회사 덕양케미칼,남준모
ME25-348,2025-06-09 13:50,남철규,SI Humidifiers,국내,(주)삼화에이스,삼성바이오로직스 주식회사,노예경
ME25-347,2025-06-09 11:30,윤현석,Sundries,국내,중앙축산사료(주),중앙축산사료(주),남준모
ME25-346,2025-06-05 15:05,이후원,Steam Traps,국내,금용야마도제형(주),금용야마도제형(주),노예경
ME25-345,2025-06-04 16:21,윤현석,Condensate Pumps,국내,(주)삼양사 인천2공장,(주)삼양사 인천2공장,박병호
ME25-344,2025-06-04 16:11,윤현석,Condensate Pumps,국내,(주)삼양사 인천2공장,(주)삼양사 인천2공장,박병호
ME25-343,2025-06-04 15:46,김원근,Ancilaries,국내,SK에너지 주식회사 울산 CLX,SK에너지 주식회사 울산 CLX,남준모
ME25-342,2025-06-04 15:41,권혁미,Other STAP,수출,SPIRAX SARCO THAILAND,SPIRAX SARCO THAILAND,김영민
ME25-341,2025-06-04 10:28,김민곤,Ancilaries,국내,에이치디현대오일뱅크(주),에이치디현대오일뱅크(주),남준모
ME25-340,2025-06-04 9:29,지한웅,Steam Traps,국내,현대제철 당진공장,현대제철 당진공장,남준모
ME25-339,2025-06-02 11:59,황태현,Steam Traps,수출,(주)에스피씨,거래처미상 ( INS 전용),남준모
ME25-338,2025-06-01 13:04,박근국,Heat Exchanger Packages,국내,(주)세아씨엠,(주)세아씨엠,권일태
ME25-337,2025-05-30 16:03,박기연,Condensate Pumps,국내,(주)야정,S-OIL(주)온산공장,박병호
ME25-336,2025-05-30 15:01,맵스코리아,PNEL Controls,국내,한국타이어(주)금산공장,한국타이어(주)금산공장,남준모
ME25-335,2025-05-30 13:44,김형욱,PNEL Controls,국내,(주)노무라마이크로사이언스코리아,SK하이닉스(청주),노예경
ME25-334,2025-05-30 13:38,권혁미,Other STAP,수출,SPIRAX SARCO MALAYSIA,SPIRAX SARCO MALAYSIA,김영민
ME25-333,2025-05-30 9:17,김형욱,PNEL Controls,국내,(주)노무라마이크로사이언스코리아,SK하이닉스(청주),노예경
ME25-332,2025-05-30 9:17,김형욱,PNEL Controls,국내,(주)노무라마이크로사이언스코리아,SK하이닉스(청주),노예경
ME25-331,2025-05-30 9:17,김형욱,PNEL Controls,국내,(주)노무라마이크로사이언스코리아,SK하이닉스(청주),노예경
ME25-330,2025-05-29 15:30,이준재,HEAT Exchangers,국내,동일팩키지(주) 진주공장,동일팩키지(주) 진주공장,박병호
ME25-329,2025-05-29 14:53,이현석,PNEL Controls,국내,도레이첨단소재 울산공장,도레이첨단소재 울산공장,노예경
ME25-328,2025-05-29 13:40,강진아,Steam Traps,국내,엘에스엘앤에프배터리솔루션_LLBS,엘에스엘앤에프배터리솔루션_LLBS,남준모
ME25-327,2025-05-29 13:07,정숙현,PNEL Controls,국내,주식회사 동우에너지소재(DONGWOO ENERGY & MATERIAL C,주식회사 동우에너지소재(DONGWOO ENERGY & MATERIAL C,남준모
ME25-326,2025-05-28 16:41,조현지,Metering,국내,주식회사파나시아,주식회사파나시아,김영민
ME25-325,2025-05-26 13:11,남철규,ABCO,국내,주식회사 한신비텍,SK하이닉스(청주),남준모
ME25-324,2025-05-26 10:27,맵스코리아,Other STAP,국내,(No_Tax)삼성에스디아이주식회사(천안),(No_Tax)삼성에스디아이주식회사(천안),김영민
ME25-323,2025-05-26 9:11,권혁미,PNEL Controls,수출,SPIRAX SARCO JAPAN,SPIRAX SARCO JAPAN,김영민
ME25-322,2025-05-22 9:11,이준재,Other STAP,국내,빙그레(주)김해공장,빙그레(주)김해공장,김영민
ME25-321,2025-05-21 16:54,남철규,SI Humidifiers,국내,(주)삼화에이스,SK하이닉스(청주),노예경
ME25-320,2025-05-21 16:05,권혁미,Other STAP,수출,SPIRAX SARCO THAILAND,SPIRAX SARCO THAILAND,김영민
ME25-319,2025-05-21 11:58,김형욱,Pressure Controls,수출,케이엔솔 주식회사,케이티앤지(인도네시아),박병호
ME25-318,2025-05-20 10:06,윤현석,PNEL Controls,국내,(주)삼양사 인천1공장,(주)삼양사 인천1공장,김영민
ME25-317,2025-05-20 9:45,황태현,,수출,현대건설(주),아람코 (ARAMCO),남준모
ME25-316,2025-05-20 8:29,EPE_박진성,Steam Traps,국내,(No_Tax)삼성에스디아이(주),(No_Tax)삼성에스디아이(주),박병호
ME25-315,2025-05-19 18:06,전대수,Steam Traps,국내,정엔지니어링(주),금호미쓰이화학(주),남준모
ME25-314,2025-05-19 15:48,박준혁,PNEL Controls,국내,삼성전자(주)구미 2 공장,삼성전자(주)구미 2 공장,남준모
ME25-313,2025-05-19 13:16,정성균,Heat Exchanger Packages,국내,무진기술연구소,무진기술연구소,권일태
ME25-312,2025-05-19 12:48,전대수,Ancilaries,국내,정엔지니어링(주),(No_Tax)금호석유화학(주)여수고무,남준모
ME25-311,2025-05-19 11:43,권혁미,Steam Traps,수출,SPIRAX UAE,SPIRAX UAE,노예경
ME25-310,2025-05-16 15:41,조영천,Condensate Pumps,국내,삼현ENC,삼현ENC,박병호
ME25-309,2025-05-16 13:06,황태호,ABCO,국내,(주)인터제로시스템,주식회사 옵투스제약,남준모
ME25-308,2025-05-15 18:31,권일태,,국내,(No_Tax)포스코(주)광양제철소,(No_Tax)포스코(주)광양제철소,권일태
ME25-307,2025-05-15 18:11,엄주석,Steam Traps,국내,에쓰씨엔지니어링(주),주식회사 덕양케미칼,남준모
ME25-306,2025-05-15 17:12,오영근,Other STAP,국내,(주)한화글로벌 여수사업장,(주)한화글로벌 여수사업장,김영민
ME25-305,2025-05-15 17:09,남철규,SI Humidifiers,국내,(주)삼화에이스,싸토리우스송도,노예경
ME25-304,2025-05-15 17:10,오영근,Other STAP,국내,주식회사 범용텍,롯데케미칼(주)첨단소재여수공장,김영민
ME25-303,2025-05-14 15:22,오영근,Other STAP,국내,주식회사 범용텍,롯데케미칼(주)첨단소재여수공장,김영민
ME25-302,2025-05-14 11:15,박남용,Other STAP,국내,삼일산업(주),무림피앤피주식회사,김영민
ME25-301,2025-05-14 8:49,권혁미,PNEL Controls,수출,SPIRAX SARCO JAPAN,SPIRAX SARCO JAPAN,김영민
ME25-300,2025-05-13 10:35,박남용,Metering,국내,(주)야정,케이앤디에너젠(주),김영민
ME25-299,2025-05-13 9:59,박준혁,Other STAP,국내,엘지이노텍(주)구미2공장,엘지이노텍(주)구미2공장,김영민
ME25-298,2025-05-12 16:05,남철규,SI Humidifiers,수출,(주)삼화에이스,삼성전기(베트남),노예경
ME25-297,2025-05-12 9:36,김규현,SI Humidifiers,수출,주식회사 녹색에너지,에스케이넥실리스 주식회사,노예경
ME25-296,2025-05-09 18:26,조현지,Steam Traps,국내,우성밸브주식회사,우성밸브주식회사,박병호
ME25-295,2025-05-09 9:54,이준재,Other STAP,국내,빙그레(주)김해공장,빙그레(주)김해공장,김영민
ME25-294,2025-05-08 18:01,임현섭,Steam Traps,국내,(주)리워터,구리소각장,김영민
ME25-293,2025-05-08 16:56,김태호,Metering,국내,(주)정도,삼성전자(주)평택,박병호
ME25-292,2025-05-08 16:56,김태호,Metering,국내,(주)정도,삼성전자(주)평택,박병호
ME25-291,2025-05-08 15:27,권혁미,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,김영민
ME25-290,2025-05-08 14:25,권혁미,Other STAP,수출,SPIRAX SARCO MALAYSIA,SPIRAX SARCO MALAYSIA,김영민
ME25-289,2025-05-08 13:00,박준혁,Steam Traps,국내,에스케이바이오사이언스(주)안동,에스케이바이오사이언스(주)안동,남준모
ME25-288,2025-05-08 11:49,조현지,Steam Traps,국내,"주식회사 케이조선(K SHIPBUILDING CO.,LTD.)","주식회사 케이조선(K SHIPBUILDING CO.,LTD.)",박병호
ME25-287,2025-05-08 9:28,조현지,Other STAP,수출,TotalEnergies,TotalEnergies,김영민
ME25-286,2025-05-07 16:54,맵스코리아,Steam Traps,국내,(No_Tax)한국중부발전(주)보령화력,(No_Tax)한국중부발전(주)보령화력,남준모
ME25-285,2025-05-07 16:15,남철규,SI Humidifiers,국내,(주)삼화에이스,머크라이프사이언스 대전,노예경
ME25-284,2025-04-30 11:06,권혁미,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,노예경
ME25-283,2025-04-30 9:16,조현지,Ancilaries,국내,하이에어코리아(주),하이에어코리아(주),노예경
ME25-282,2025-04-29 17:17,이정화,Sundry Products,국내,(주)한화건설,(주)한화건설,노예경
ME25-281,2025-04-29 16:01,윤현석,Pressure Controls,국내,(주)삼양사 인천1공장,(주)삼양사 인천1공장,박병호
ME25-280,2025-04-29 15:17,윤현석,ABCO,국내,(주)삼양사 인천1공장,(주)삼양사 인천1공장,남준모
ME25-279,2025-04-29 14:31,한사코,ABCO,국내,유한양행기흥연구소,유한양행기흥연구소,김영민
ME25-278,2025-04-29 9:26,권혁미,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,김영민
ME25-277,2025-04-28 18:33,엄주석,Ancilaries,국내,에쓰씨엔지니어링(주),케이앤디에너젠(주),남준모
ME25-276,2025-04-28 16:48,권혁미,Other STAP,수출,SPIRAX SARCO MALAYSIA,SPIRAX SARCO MALAYSIA,김영민
